id;meter_id;owner_key;owner_name;utility;namespace;meter_name;ref;site;lat;lon;ws_lat;ws_lon;location_id;km;peer_name;markers;price
1;16196;youthful;promptly;ack knowledgeably;and since consequently;outside creak;deprave;brr loosely;17125.5;8170.86;27698.8;14179.03;31659;5434.48;lawful inasmuch till;rightfully ritualise virtual;18171.36
2;6190;from;when;agitated scarily;drat whose;worriedly yahoo;likewise anguish;lord;29822.09;25680.35;24495.03;13686.43;10686;4948.31;yarn yuck champion;update;3591.44
3;13586;if;lightly anti uh-huh;bruised murky shy;focused;ack;consequently upwardly;boohoo pullulate;14136.74;23210.82;13128.35;16639.37;20957;7668.02;sternly extinction;breakable anenst frantically;6931.2
4;14752;doubling paperwork;quarrelsome recklessly;entire so whenever;riot gleaming advent;weekender;instead combination sure-footed;yet painfully ack;3385.83;7005.54;11722.87;31989.93;6827;15606.14;hmph;ladybug;9634.39
5;7726;hmph;aw;who;gently and;security or;external;insight circa whenever;23206.52;8497.84;13356.63;27611.02;29294;21382.94;on;circa to;30812.72
6;20228;for;amongst plus with;likewise;superb bifocals pish;a forenenst how;that bleakly;aggravating through whether;31985.17;30127.56;4836.14;19445.51;1491;19118.12;install circa flatten;generous;2025.22
7;16551;weakly um sir;as;but;virtuous civilise;banyan harpsichord;an bruised lest;horse tear;24732.6;18437.76;20905.61;19195.59;22885;23473.1;even truly upon;best wide-eyed;2761.41
8;6227;mock snowplow impinge;judgementally;fluffy merit;buckwheat;gibber on;sheet;besides;709.75;28661.89;31318.06;27014.25;27806;32295.52;morph round amid;astonishing bah;10218.17
9;19809;before amongst;assault nimble;whether;youngster zowie;mid upbeat;powerful;rapidly;16285.01;9597.95;4359.68;32451.15;10982;12669.21;near;throughout toward;21702.7
10;10803;batter long careful;frightened underground decriminalise;aw sometimes gadzooks;yap physically;into odd estimate;lumbering value since;calmly wilted;23307.17;11126.86;5665.54;169.98;3651;18608.62;imperturbable texture as;out quick-witted;13961.98
