id;service_id;contract_id;meter_description;meter_name;meter_utility;price_per_month
1;22708;14276;Namibia;Awesome;Nevada solid Northeast;30074
2;22284;24461;Classical blockchains;Electric Bedfordshire Recumbent;ha Thallium sweeten;13243
3;24284;14687;monitor;watt SUV up;Northeast orchid Honda;10339
4;20092;10453;vice in;Fiat Smart;silver;2308
5;4148;25930;Shoes female examiner;Oman quantity;Small;3350
6;16091;12278;quicker Americium within;Koruna;woman woot;7682
7;2555;31766;meter Assurance;bandwidth Rhenium near;Van Southwest flicker;12495
8;5793;15826;ack optimizing;Licensed;Mayer;29849
9;20950;9169;South;ohm Hat;Philippine;26856
10;15903;15547;bus;French;national sleeping Manager;14981
